candidateId,rowReady,placementPresent,workerInputPresent,workerSmokePresent,placementAssetTimeMode,workerInputAssetTimeMode,workerSmokeSuccessRaw,workerSmokeSuccess,placement.candidateRowId,placement.candidateId,placement.audioUri,placement.sourceType,placement.sceneId,placement.caseId,placement.eventId,placement.layer,placement.label,placement.assetTimeMode,placement.placementRequired,placement.expectedStartSec,placement.expectedEndSec,placement.actualDurationSec,placement.globalStartSec,placement.globalEndSec,placement.placementOffsetSec,placement.timingBindingStatus,placement.bindingMethod,placement.bindingConfidence,placement.placementStatus,placement.placementReason,placement.misplacedFromZero,placement.expectedEndDeltaSec,workerInput.candidateId,workerInput.workerReadiness,workerInput.assetTimeMode,workerInput.placementPolicy,workerInput.timelineStartSec,workerInput.timelineEndSec,workerInput.durationSec,workerInput.podPath,workerInput.sampleRateHz,workerInput.channels,workerInput.sizeBytes,workerInput.sourceType,workerSmoke.workerIndex,workerSmoke.candidateId,workerSmoke.workerStatus,workerSmoke.assetTimeMode,workerSmoke.placementPolicy,workerSmoke.timelineStartSec,workerSmoke.timelineEndSec,workerSmoke.durationSecDeclared,workerSmoke.durationSecActual,workerSmoke.sampleRateHz,workerSmoke.channels,workerSmoke.sizeVerified,workerSmoke.sha256Verified,workerSmoke.durationVerified,workerSmoke.audioReadable,workerSmoke.podPath
procedural_v0_0001,True,True,True,True,full_clip,full_clip,SUCCESS,True,candidate_0000,procedural_v0_0001,artifacts/audio_candidates/week12_procedural_baseline_v0/0001_slot_v0_0001_generation_fallback.wav,procedural_baseline_v0,seed_0001_case_48b11c,seed_0001_case_48b11c,evt_001,ambience,contextual ambience bed,full_clip,False,0.0,8.0,8.0,0.0,8.0,0.0,BOUND,scene_event_id,HIGH,PASS,FULL_CLIP_DIRECT_GLOBAL_TIMELINE,False,0.0,procedural_v0_0001,READY,full_clip,PLACE_AT_GLOBAL_ZERO,0.0,8.0,8.0,/mnt/audio-candidates/week13/full_clip/procedural_v0_0001.wav,16000,1,256044,procedural_baseline_v0,0,procedural_v0_0001,SUCCESS,full_clip,PLACE_AT_GLOBAL_ZERO,0.0,8.0,8.0,8.0,16000,1,True,True,True,True,/mnt/audio-candidates/week13/full_clip/procedural_v0_0001.wav
procedural_v0_0002,True,True,True,True,event_local,event_local,SUCCESS,True,candidate_0001,procedural_v0_0002,artifacts/audio_candidates/week12_procedural_baseline_v0/0002_slot_v0_0002_generation_fallback.wav,procedural_baseline_v0,seed_0001_case_48b11c,seed_0001_case_48b11c,evt_002,foley,time-aligned footsteps,event_local,True,1.44,5.76,4.32,1.44,5.76,1.44,BOUND,scene_event_id,HIGH,PASS,EVENT_LOCAL_OFFSET_BY_EXPECTED_START_SEC,False,0.0,procedural_v0_0002,READY,event_local,PLACE_AT_EXPECTED_START_SEC,1.44,5.76,4.32,/mnt/audio-candidates/week13/event_local/procedural_v0_0002.wav,16000,1,138284,procedural_baseline_v0,1,procedural_v0_0002,SUCCESS,event_local,PLACE_AT_EXPECTED_START_SEC,1.44,5.76,4.32,4.32,16000,1,True,True,True,True,/mnt/audio-candidates/week13/event_local/procedural_v0_0002.wav
procedural_v0_0003,True,True,True,True,full_clip,full_clip,SUCCESS,True,candidate_0002,procedural_v0_0003,artifacts/audio_candidates/week12_procedural_baseline_v0/0003_slot_v0_0003_generation_fallback.wav,procedural_baseline_v0,seed_0002_case_adc34a,seed_0002_case_adc34a,evt_001,ambience,contextual ambience bed,full_clip,False,0.0,8.0,8.0,0.0,8.0,0.0,BOUND,scene_event_id,HIGH,PASS,FULL_CLIP_DIRECT_GLOBAL_TIMELINE,False,0.0,procedural_v0_0003,READY,full_clip,PLACE_AT_GLOBAL_ZERO,0.0,8.0,8.0,/mnt/audio-candidates/week13/full_clip/procedural_v0_0003.wav,16000,1,256044,procedural_baseline_v0,2,procedural_v0_0003,SUCCESS,full_clip,PLACE_AT_GLOBAL_ZERO,0.0,8.0,8.0,8.0,16000,1,True,True,True,True,/mnt/audio-candidates/week13/full_clip/procedural_v0_0003.wav
procedural_v0_0004,True,True,True,True,event_local,event_local,SUCCESS,True,candidate_0003,procedural_v0_0004,artifacts/audio_candidates/week12_procedural_baseline_v0/0004_slot_v0_0004_generation_fallback.wav,procedural_baseline_v0,seed_0002_case_adc34a,seed_0002_case_adc34a,evt_002,foley,door close impact,event_local,True,1.44,5.76,4.32,1.44,5.76,1.44,BOUND,scene_event_id,HIGH,PASS,EVENT_LOCAL_OFFSET_BY_EXPECTED_START_SEC,False,0.0,procedural_v0_0004,READY,event_local,PLACE_AT_EXPECTED_START_SEC,1.44,5.76,4.32,/mnt/audio-candidates/week13/event_local/procedural_v0_0004.wav,16000,1,138284,procedural_baseline_v0,3,procedural_v0_0004,SUCCESS,event_local,PLACE_AT_EXPECTED_START_SEC,1.44,5.76,4.32,4.32,16000,1,True,True,True,True,/mnt/audio-candidates/week13/event_local/procedural_v0_0004.wav
procedural_v0_0005,True,True,True,True,full_clip,full_clip,SUCCESS,True,candidate_0004,procedural_v0_0005,artifacts/audio_candidates/week12_procedural_baseline_v0/0005_slot_v0_0005_generation_fallback.wav,procedural_baseline_v0,seed_0003_case_9eb26a,seed_0003_case_9eb26a,evt_001,ambience,contextual ambience bed,full_clip,False,0.0,8.0,8.0,0.0,8.0,0.0,BOUND,scene_event_id,HIGH,PASS,FULL_CLIP_DIRECT_GLOBAL_TIMELINE,False,0.0,procedural_v0_0005,READY,full_clip,PLACE_AT_GLOBAL_ZERO,0.0,8.0,8.0,/mnt/audio-candidates/week13/full_clip/procedural_v0_0005.wav,16000,1,256044,procedural_baseline_v0,4,procedural_v0_0005,SUCCESS,full_clip,PLACE_AT_GLOBAL_ZERO,0.0,8.0,8.0,8.0,16000,1,True,True,True,True,/mnt/audio-candidates/week13/full_clip/procedural_v0_0005.wav
procedural_v0_0006,True,True,True,True,event_local,event_local,SUCCESS,True,candidate_0005,procedural_v0_0006,artifacts/audio_candidates/week12_procedural_baseline_v0/0006_slot_v0_0006_generation_fallback.wav,procedural_baseline_v0,seed_0003_case_9eb26a,seed_0003_case_9eb26a,evt_002,foley,raindrop impacts on window,event_local,True,1.44,5.76,4.32,1.44,5.76,1.44,BOUND,scene_event_id,HIGH,PASS,EVENT_LOCAL_OFFSET_BY_EXPECTED_START_SEC,False,0.0,procedural_v0_0006,READY,event_local,PLACE_AT_EXPECTED_START_SEC,1.44,5.76,4.32,/mnt/audio-candidates/week13/event_local/procedural_v0_0006.wav,16000,1,138284,procedural_baseline_v0,5,procedural_v0_0006,SUCCESS,event_local,PLACE_AT_EXPECTED_START_SEC,1.44,5.76,4.32,4.32,16000,1,True,True,True,True,/mnt/audio-candidates/week13/event_local/procedural_v0_0006.wav
procedural_v0_0007,True,True,True,True,full_clip,full_clip,SUCCESS,True,candidate_0006,procedural_v0_0007,artifacts/audio_candidates/week12_procedural_baseline_v0/0007_slot_v0_0007_generation_fallback.wav,procedural_baseline_v0,seed_0004_case_f9f0fb,seed_0004_case_f9f0fb,evt_001,ambience,contextual ambience bed,full_clip,False,0.0,8.0,8.0,0.0,8.0,0.0,BOUND,scene_event_id,HIGH,PASS,FULL_CLIP_DIRECT_GLOBAL_TIMELINE,False,0.0,procedural_v0_0007,READY,full_clip,PLACE_AT_GLOBAL_ZERO,0.0,8.0,8.0,/mnt/audio-candidates/week13/full_clip/procedural_v0_0007.wav,16000,1,256044,procedural_baseline_v0,6,procedural_v0_0007,SUCCESS,full_clip,PLACE_AT_GLOBAL_ZERO,0.0,8.0,8.0,8.0,16000,1,True,True,True,True,/mnt/audio-candidates/week13/full_clip/procedural_v0_0007.wav
procedural_v0_0008,True,True,True,True,event_local,event_local,SUCCESS,True,candidate_0007,procedural_v0_0008,artifacts/audio_candidates/week12_procedural_baseline_v0/0008_slot_v0_0008_generation_fallback.wav,procedural_baseline_v0,seed_0004_case_f9f0fb,seed_0004_case_f9f0fb,evt_002,foley,keyboard typing taps,event_local,True,1.44,5.76,4.32,1.44,5.76,1.44,BOUND,scene_event_id,HIGH,PASS,EVENT_LOCAL_OFFSET_BY_EXPECTED_START_SEC,False,0.0,procedural_v0_0008,READY,event_local,PLACE_AT_EXPECTED_START_SEC,1.44,5.76,4.32,/mnt/audio-candidates/week13/event_local/procedural_v0_0008.wav,16000,1,138284,procedural_baseline_v0,7,procedural_v0_0008,SUCCESS,event_local,PLACE_AT_EXPECTED_START_SEC,1.44,5.76,4.32,4.32,16000,1,True,True,True,True,/mnt/audio-candidates/week13/event_local/procedural_v0_0008.wav
procedural_v0_0009,True,True,True,True,full_clip,full_clip,SUCCESS,True,candidate_0008,procedural_v0_0009,artifacts/audio_candidates/week12_procedural_baseline_v0/0009_slot_v0_0009_generation_fallback.wav,procedural_baseline_v0,seed_0005_case_06f366,seed_0005_case_06f366,evt_001,ambience,outdoor bike-pass ambience,full_clip,False,0.0,8.0,8.0,0.0,8.0,0.0,BOUND,scene_event_id,HIGH,PASS,FULL_CLIP_DIRECT_GLOBAL_TIMELINE,False,0.0,procedural_v0_0009,READY,full_clip,PLACE_AT_GLOBAL_ZERO,0.0,8.0,8.0,/mnt/audio-candidates/week13/full_clip/procedural_v0_0009.wav,16000,1,256044,procedural_baseline_v0,8,procedural_v0_0009,SUCCESS,full_clip,PLACE_AT_GLOBAL_ZERO,0.0,8.0,8.0,8.0,16000,1,True,True,True,True,/mnt/audio-candidates/week13/full_clip/procedural_v0_0009.wav
procedural_v0_0010,True,True,True,True,event_local,event_local,SUCCESS,True,candidate_0009,procedural_v0_0010,artifacts/audio_candidates/week12_procedural_baseline_v0/0010_slot_v0_0010_generation_fallback.wav,procedural_baseline_v0,seed_0005_case_06f366,seed_0005_case_06f366,evt_002,foley,bicycle pass-by motion cue,event_local,True,1.2,5.44,4.24,1.2,5.44,1.2,BOUND,scene_event_id,HIGH,PASS,EVENT_LOCAL_OFFSET_BY_EXPECTED_START_SEC,False,0.0,procedural_v0_0010,READY,event_local,PLACE_AT_EXPECTED_START_SEC,1.2,5.44,4.24,/mnt/audio-candidates/week13/event_local/procedural_v0_0010.wav,16000,1,135724,procedural_baseline_v0,9,procedural_v0_0010,SUCCESS,event_local,PLACE_AT_EXPECTED_START_SEC,1.2,5.44,4.24,4.24,16000,1,True,True,True,True,/mnt/audio-candidates/week13/event_local/procedural_v0_0010.wav
